islenen_zaman,islem_sunucusu,log_id,log_level,type,payload
2026-06-02T19:59:07.267442+00:00,Node-1,37584e5d-0c9c-4c97-baa8-f486b8c9890e,ERROR,Access,"Unauthorized access attempt. Account: i***@exchange.local. Profile data accessed: TCKN ********610, Saved Card ****-****-****-4129"
2026-06-02T19:59:07.315562+00:00,Node-1,e3181dd1-45c1-4f6f-bf2d-5d71b3ad480c,ERROR,Access,"Unauthorized access attempt. Account: l***@yahoo.com. Profile data accessed: TCKN ********704, Saved Card ****-****-****-3683"
2026-06-02T19:59:07.355888+00:00,Node-1,e7c361df-963f-4e6c-9dbc-999b5407e1fd,FATAL,Access,"Unauthorized access attempt. Account: l***@yahoo.com. Profile data accessed: TCKN ********401, Saved Card ****-****-****-6933"
2026-06-02T19:59:07.400366+00:00,Node-1,220c8544-6667-4f48-89c8-e57ed7ff30b1,ERROR,Access,"Unauthorized access attempt. Account: r***@hotmail.com. Profile data accessed: TCKN ********055, Saved Card ****-****-****-3082"
2026-06-02T19:59:07.704785+00:00,Node-1,4d05e69f-cf07-4768-8045-e8162a23e09b,FATAL,Access,"Unauthorized access attempt. Account: h***@gmail.com. Profile data accessed: TCKN ********250, Saved Card ****-****-****-5532"
2026-06-02T19:59:07.878017+00:00,Node-1,45606605-ffcb-4317-9390-4f2b869dacc3,FATAL,Access,"Unauthorized access attempt. Account: l***@gmail.com. Profile data accessed: TCKN ********354, Saved Card ****-****-****-9978"
2026-06-02T19:59:07.926665+00:00,Node-1,6f24e6d0-2828-4c43-8955-dcdebf5c446d,FATAL,Access,"Unauthorized access attempt. Account: o***@yahoo.com. Profile data accessed: TCKN ********618, Saved Card ****-****-****-2516"
2026-06-02T19:59:08.141823+00:00,Node-1,f8129a9f-9296-49d5-93c9-38bb196c1dbc,ERROR,Access,"Unauthorized access attempt. Account: f***@gmail.com. Profile data accessed: TCKN ********248, Saved Card ****-****-****-3394"
2026-06-02T19:59:08.158335+00:00,Node-1,1476ad0f-6709-4806-ab3c-4507d8fb940d,ERROR,Access,"Unauthorized access attempt. Account: g***@hotmail.com. Profile data accessed: TCKN ********256, Saved Card ****-****-****-7130"
2026-06-02T19:59:08.260671+00:00,Node-1,8ebd75b4-5626-419d-8d18-ce1ca2da4727,ERROR,Access,"Unauthorized access attempt. Account: e***@hotmail.com. Profile data accessed: TCKN ********040, Saved Card ****-****-****-3487"
2026-06-02T19:59:08.426656+00:00,Node-1,89d0428b-a993-47e4-a0ef-69e6863c7ade,FATAL,Access,"Unauthorized access attempt. Account: i***@gmail.com. Profile data accessed: TCKN ********086, Saved Card ****-****-****-1827"
2026-06-02T19:59:08.464086+00:00,Node-1,62de6947-9d96-456f-9898-822723aeda0f,ERROR,Access,"Unauthorized access attempt. Account: f***@gmail.com. Profile data accessed: TCKN ********404, Saved Card ****-****-****-0356"
2026-06-02T19:59:08.485331+00:00,Node-1,f639a63f-1168-496b-9bee-72d7c4231881,ERROR,Access,"Unauthorized access attempt. Account: e***@exchange.local. Profile data accessed: TCKN ********434, Saved Card ****-****-****-9919"
2026-06-02T19:59:08.516933+00:00,Node-1,61dea442-7981-44ac-91eb-eb982bb0944e,ERROR,Access,"Unauthorized access attempt. Account: u***@gmail.com. Profile data accessed: TCKN ********197, Saved Card ****-****-****-8376"
2026-06-02T19:59:08.549787+00:00,Node-1,e227bd38-260a-4b65-b64c-68e9268f44e7,FATAL,Access,"Unauthorized access attempt. Account: q***@exchange.local. Profile data accessed: TCKN ********834, Saved Card ****-****-****-0850"
2026-06-02T19:59:08.672676+00:00,Node-1,2590ceb6-17e2-4a78-aa34-c702149830d1,ERROR,Access,"Unauthorized access attempt. Account: o***@hotmail.com. Profile data accessed: TCKN ********614, Saved Card ****-****-****-7296"
2026-06-02T19:59:08.867624+00:00,Node-1,117c65a5-e8cd-49f6-9bdf-38c19164392a,ERROR,Access,"Unauthorized access attempt. Account: c***@hotmail.com. Profile data accessed: TCKN ********460, Saved Card ****-****-****-5469"
