islenen_zaman,islem_sunucusu,log_id,log_level,type,payload
2026-06-02T20:30:33.415730+00:00,Node-1,60bde48b-e663-410d-b6f4-be604c7521eb,FATAL,Access,"Unauthorized access attempt. Account: f***@yahoo.com. Profile data accessed: TCKN ********960, Saved Card ****-****-****-6424"
2026-06-02T20:30:38.831962+00:00,Node-1,1f3dea39-d92c-47ab-bfbf-87cb1c8f7c33,ERROR,Access,"Unauthorized access attempt. Account: m***@gmail.com. Profile data accessed: TCKN ********807, Saved Card ****-****-****-0771"
2026-06-02T20:30:45.381317+00:00,Node-1,34a2861c-3a1c-4e98-a3e2-d9a76fe003bd,FATAL,Access,"Unauthorized access attempt. Account: p***@gmail.com. Profile data accessed: TCKN ********496, Saved Card ****-****-****-5534"
2026-06-02T20:30:52.055248+00:00,Node-1,5bca2c99-cd79-4a95-b2a7-bbddc3fafa3b,FATAL,Access,"Unauthorized access attempt. Account: e***@exchange.local. Profile data accessed: TCKN ********842, Saved Card ****-****-****-6654"
2026-06-02T20:31:06.870610+00:00,Node-1,4747e8ad-734f-42c2-b421-ba60e54730e6,ERROR,Access,"Unauthorized access attempt. Account: s***@hotmail.com. Profile data accessed: TCKN ********196, Saved Card ****-****-****-2815"
2026-06-02T20:31:08.630732+00:00,Node-1,07832506-820f-4b98-a678-b5b8c46743e5,ERROR,Access,"Unauthorized access attempt. Account: d***@hotmail.com. Profile data accessed: TCKN ********677, Saved Card ****-****-****-5484"
2026-06-02T20:31:17.182005+00:00,Node-1,d6d954c3-0d88-4f02-8476-3917bd11e35c,FATAL,Access,"Unauthorized access attempt. Account: t***@gmail.com. Profile data accessed: TCKN ********865, Saved Card ****-****-****-6883"
2026-06-02T20:31:19.110420+00:00,Node-1,3ec2104d-7995-46b3-8a74-c8715d61fb14,ERROR,Access,"Unauthorized access attempt. Account: o***@yahoo.com. Profile data accessed: TCKN ********895, Saved Card ****-****-****-1273"
2026-06-02T20:31:23.922373+00:00,Node-1,a3226e34-699b-434b-a520-f565cf1a5a5d,FATAL,Access,"Unauthorized access attempt. Account: p***@hotmail.com. Profile data accessed: TCKN ********682, Saved Card ****-****-****-5446"
2026-06-02T20:31:27.867486+00:00,Node-1,80b6c9a5-9146-4ba3-bfc5-304785f5ec74,ERROR,Access,"Unauthorized access attempt. Account: l***@yahoo.com. Profile data accessed: TCKN ********151, Saved Card ****-****-****-7886"
